,Date,Govt,ESG,Shariah,Net,Adjusted
37,2021-02-26,30076.91566782039,233642.83743626325,29601.482713064215,293321.2358171479,False
38,2021-03-01,29644.003103009672,239402.52153169096,29748.973907449188,298795.4985421498,False
39,2021-03-02,29646.10462031457,237705.2233199949,29689.9774296952,297041.3053700047,False
40,2021-03-03,29324.5724726639,233698.4865579582,29616.231832502704,292639.2908631248,False
41,2021-03-04,29135.43591522232,229914.34628270136,29586.73359362571,288636.5157915494,False
42,2021-03-05,29192.176882454794,234727.99530931484,29527.73711587173,293447.9093076414,False
43,2021-03-08,28965.213013524906,233197.6444627036,29380.245921486756,291543.10339771525,False
44,2021-03-09,29569.102985389436,236556.88149288026,29569.542419112968,295695.5268973827,True
45,2021-03-10,29729.931247666354,237841.4853974176,29729.968735051218,297301.38538013515,True
46,2021-03-11,29515.481665034276,241091.21724274027,29715.16297372898,300321.8618815035,False
47,2021-03-12,29921.238775274553,239390.5913663471,29922.784716688217,299234.61485830985,True
48,2021-03-15,30184.513635874406,241477.85927170175,30184.3030173869,301846.675924963,True
49,2021-03-16,30100.73907728701,240806.55004207455,30100.83307375544,301008.122193117,True
50,2021-03-17,29875.49695375364,241523.7287707222,30281.52841987103,301680.7541443469,False
51,2021-03-18,29572.96586626275,237882.6675329726,30025.543346207283,297481.1767454427,False
52,2021-03-19,29750.655550058447,238004.31790228398,29750.655550058447,297505.6290024009,True
53,2021-03-22,30003.427640577112,240027.4211246168,30002.75894023047,300033.6077054244,True
54,2021-03-23,29828.685057573035,238628.00729326188,29828.685057573035,298285.3774084079,True
55,2021-03-24,29714.747038566056,237716.93122769028,29714.747038566056,297146.4253048224,True
56,2021-03-25,29480.434123337545,238354.5393231115,29699.882232643813,297534.85567909287,False
57,2021-03-26,29377.250454246092,242817.79599106,29625.558203032593,301820.6046483387,False
58,2021-03-29,30108.82563999924,240890.26068087554,30110.03189431006,301109.11821518483,True
59,2021-03-30,30266.59144224573,240366.7658904218,30185.609283603007,300818.9666162706,False
60,2021-03-31,30097.715372235398,241964.80261917517,30230.955717178775,302293.4737085893,False
61,2021-04-01,30555.4584041055,244747.59071579747,30261.186672895954,305564.2357927989,False
62,2021-04-05,30422.13519093945,248081.42596026574,30230.955717178775,308734.516868384,False
63,2021-04-06,30628.786171346826,247943.66417330422,30306.533106471725,308878.98345112277,False
64,2021-04-07,30415.469030281147,247805.90238634273,30185.609283603007,308406.9807002269,False
65,2021-04-08,30666.561081743872,249155.96789856543,30306.533106471725,310129.062086781,False
66,2021-04-09,30555.4584041055,250974.42348645718,30215.840239320183,311745.72212988284,False
67,2021-04-12,30542.12608278889,251029.5282012418,30230.955717178775,311802.6100012094,False
68,2021-04-13,30770.99759872394,252076.51778214914,30351.87954004749,313199.39492092055,False
69,2021-04-14,30673.227242402176,250974.42348645718,30306.533106471725,311954.18383533106,False
70,2021-04-15,31186.521613091463,254005.1827996101,30427.456929340435,315619.161342042,False
71,2021-04-16,30944.317775839805,254611.33466224073,30336.7640621889,315892.41650026944,False
