,Date,Govt,ESG,Shariah,Net,Adjusted
432,2022-09-21,111869.83345848735,86480.84589565654,21895.041364892637,220245.72071903656,False
433,2022-09-22,43258.902396509235,21629.451198254625,151082.18500217568,215970.53859693953,True
434,2022-09-23,43435.60352722548,21284.791185434256,151167.34970623555,215887.74441889528,False
435,2022-09-26,42605.519145721264,20942.845030982553,149464.05562503854,213012.41980174236,False
436,2022-09-27,41483.672432104184,20885.8540052406,149208.56151285896,211578.08795020374,False
437,2022-09-28,42872.62550610629,21320.071344226893,149123.39680879912,213316.0936591323,False
438,2022-09-29,42650.72176055565,20899.423297083922,149464.05562503854,213014.2006826781,False
439,2022-09-30,42100.07172530038,20600.898876530846,148186.58506414076,210887.555665972,False
440,2022-10-03,42667.15907504089,21149.09826700104,148612.40858444,212428.66592648195,False
441,2022-10-04,106960.52605972251,21424.371968257863,85697.48787303142,214082.38590101182,True
442,2022-10-05,105937.82062415051,21395.041776390928,85064.49506487834,212397.35746541977,False
443,2022-10-06,42305.57203095816,21152.786015479083,147911.96638276303,211370.32442920026,True
444,2022-10-07,41894.87859782765,20531.821023466153,148166.11065489834,210592.81027619215,False
445,2022-10-10,104595.72394755292,20949.387238400544,83803.52141927794,209348.6326052314,True
446,2022-10-11,105058.62998795649,20839.661496677876,83563.53424453773,209461.8257291721,False
447,2022-10-12,105574.13898749682,20784.79862581654,83419.5419396936,209778.47955300694,False
448,2022-10-13,104564.16217207086,21316.96847317148,82939.56759021322,208820.69823545555,False
449,2022-10-14,103701.47364222782,20787.541769359606,83131.55733000537,207620.5727415928,False
450,2022-10-17,165582.35529799547,20717.326611884055,20717.326611884055,207017.00852176358,True
451,2022-10-18,165970.61038738824,20973.161877479743,20681.233708379033,207625.00597324703,False
452,2022-10-19,162948.9729525487,20786.615329649554,20717.326611884055,204452.91489408232,False
453,2022-10-20,160163.6647025569,20565.424422936616,20669.20274054402,201398.29186603756,False
454,2022-10-21,157277.07251620182,21047.78049661182,20621.078869203993,198945.93188201764,False
455,2022-10-24,155977.261999539,21319.605466307235,20621.078869203993,197917.94633505022,False
456,2022-10-25,162300.49483756238,20288.11988088809,20288.11988088809,202876.73459933855,True
457,2022-10-26,102594.5976958306,20518.100727990106,81921.48334729059,205034.1817711113,True
458,2022-10-27,41239.669313974366,20619.447969179346,144183.2539280901,206042.3712112438,True
459,2022-10-28,20644.29213477391,20644.29213477391,165102.36052653988,206390.9447960877,True
460,2022-10-31,20497.137573069427,20529.960634870273,165198.1275570077,206225.22576494742,False
461,2022-11-01,20637.894110351976,20457.8820805832,165293.89458747557,206389.67077841074,False
462,2022-11-02,20548.321768444897,19896.166450621855,164144.69022186162,204589.17844092837,False
463,2022-11-03,20437.42267846471,19660.047048646953,163953.15616092595,204050.6258880376,False
464,2022-11-04,20094.06203448758,19953.332200573674,165198.1275570077,205245.52179206896,False
465,2022-11-07,19893.590602600314,20199.393472105414,164815.0594351364,204908.04350984213,False
466,2022-11-08,20111.12343294607,20378.347124128497,164910.82646560424,205400.29702267883,False
467,2022-11-09,20177.236351972726,19950.846733184466,165198.1275570077,205326.21064216492,False
468,2022-11-10,20953.529981834057,21151.32748217264,165772.7297398147,207877.5872038214,False
469,2022-11-11,20876.75368877085,21409.81609065043,167400.76925776782,209687.3390371891,False
470,2022-11-14,20825.56949339538,21151.32748217264,167113.46816636433,209090.36514193233,False
471,2022-11-15,21162.532112950572,21370.048612423077,167592.3033187035,210124.88404407713,False
472,2022-11-16,21625.322546137137,21153.812949561852,167209.23519683216,209988.37069253114,False
473,2022-11-17,21397.126341754818,21036.995982269007,167209.23519683216,209643.357520856,False
474,2022-11-18,21249.971780050335,21136.414677837387,167113.46816636433,209499.85462425207,False
475,2022-11-21,21339.544121957413,21061.850656161103,167783.83737963912,210185.23215775762,False
476,2022-11-22,21642.383944595626,21397.38875370438,167879.604410107,210919.37710840697,False
477,2022-11-23,22019.867385489735,21534.089460110903,168262.6725319783,211816.62937757897,False
478,2022-11-25,21945.223767233838,21499.29291666197,167879.604410107,211324.1210940028,False
479,2022-11-28,22007.071336645866,21151.32748217264,169028.80877572094,212187.20759453945,False
480,2022-11-29,21749.017684961193,21121.50187350213,168933.0417452531,211803.56130371644,False
481,2022-11-30,21908.968295509545,21837.31648159446,168741.50768431745,212487.79246142146,False
482,2022-12-01,22555.168762124886,21894.482231546277,169507.64392806008,213957.29492173123,False
483,2022-12-02,22838.814511497294,21842.287416372877,170273.78017180276,214954.88209967292,False
484,2022-12-05,21344.88006460572,85219.72699959086,106724.40032302857,213289.00738722517,True
485,2022-12-06,21619.802281556797,84122.22268389825,106784.69659439752,212526.72155985257,False
486,2022-12-07,148893.56448980796,21315.86722262336,42631.734445246715,212841.16615767803,True
487,2022-12-08,148485.52512425627,21491.492305672284,42679.77020236812,212656.78763229668,False
488,2022-12-09,144622.7524637004,21295.79578456063,42727.805959489524,208646.35420775056,False
489,2022-12-12,145085.19707799228,21611.92093404869,42559.680809564605,209256.79882160557,False
490,2022-12-13,146486.13223305307,21724.822773151565,42847.89535229304,211058.85035849767,False
491,2022-12-14,147111.79259356562,21559.233409134013,42847.89535229304,211518.92135499266,False
492,2022-12-15,147329.4135885265,21032.35815998725,42847.89535229304,211209.6671008068,False
493,2022-12-16,167315.35995077633,20920.830960669235,20921.192597687244,209157.3835091328,True
494,2022-12-19,164503.59963043837,20728.827198682655,20874.178681737387,206106.6055108584,False
495,2022-12-20,162513.81595058847,20314.51857882997,20314.51857882997,203142.8531082484,True
496,2022-12-21,162922.30002006984,20619.124916169494,20360.34941600725,203901.7743522466,False
497,2022-12-22,162890.8781685713,20334.330373128476,20314.51857882997,203539.72712052974,False
498,2022-12-23,160502.81745468016,20423.48344747175,20303.06086953565,201229.36177168757,False
499,2022-12-27,157329.21045332492,20349.189218852356,20303.06086953565,197981.46054171294,False
500,2022-12-28,156402.2658341172,20079.253521535218,20234.31461376973,196715.83396942215,False
