,Date,Govt,ESG,Shariah
205,2021-10-26,276310.7782150565,377600.19670518755,290156.7091087173
206,2021-10-27,281338.07287038217,375313.4988935328,290744.36826640577
207,2021-10-28,280385.93373111595,379259.89672977565,290450.5386875615
208,2021-10-29,281242.85895645554,381104.0078682069,290303.6238981394
209,2021-11-01,278862.51110829,381657.24120973627,290156.7091087172
210,2021-11-02,280100.2919893361,382726.82567002636,290450.53868756146
211,2021-11-03,277205.78900596674,384497.17236292036,290156.7091087172
212,2021-11-04,280119.3347721214,387152.6924022614,291038.19784525
213,2021-11-05,284308.74698489276,387447.7501844104,291625.8570029386
214,2021-11-08,283775.54906690365,388332.9235308574,291625.8570029386
215,2021-11-09,287469.84892725653,387484.63240717904,291478.9422135164
216,2021-11-10,282214.040878507,384054.5856896969,290303.62389813934
217,2021-11-11,281795.0996572299,384275.8790263087,290156.70910871716
218,2021-11-12,280557.3187761839,387410.8679616419,290450.5386875614
219,2021-11-15,277034.4039608988,386820.75239734387,290156.70910871716
220,2021-11-16,276329.82099784183,389623.8013277594,290156.70910871716
221,2021-11-17,278519.7410181541,388000.98352593987,290303.6238981393
222,2021-11-18,279567.0940713469,388627.98131300654,290450.5386875614
223,2021-11-19,282518.7254030722,388959.92131792416,290450.5386875614
224,2021-11-22,279205.28119842574,387373.9857388733,289862.8795298729
225,2021-11-23,275168.211247937,386673.22350626945,289275.22037218435
226,2021-11-24,279586.13685413223,387042.04573395563,289715.9647404507
227,2021-11-26,286651.00926748756,378264.0767150228,289128.30558276223
228,2021-11-29,284346.8325504633,384238.9968035401,289862.8795298729
229,2021-11-30,288669.54424273194,375534.79223014443,290450.5386875614
230,2021-12-01,290097.75295163126,371551.51217113284,290009.794319295
231,2021-12-02,290459.56582455244,378005.9011556423,290156.7091087171
232,2021-12-03,293925.35229148145,374686.50110646605,290156.7091087171
233,2021-12-06,289888.2823409927,378485.3700516345,290156.7091087171
234,2021-12-07,287546.02005839784,387521.51462994766,290009.794319295
235,2021-12-08,282575.8537514282,388664.86353577505,289569.0499510286
236,2021-12-09,284156.40472261014,384976.6412589125,289275.22037218435
237,2021-12-10,283470.8645423385,388000.98352593987,289422.1351616065
238,2021-12-13,287660.2767551098,383280.0590115558,289715.9647404507
239,2021-12-14,286974.73657483805,379518.072289156,289715.9647404507
240,2021-12-15,284213.5330709661,385824.93238259095,289569.0499510286
241,2021-12-16,284004.06246032746,382173.5923284971,289862.87952987285
242,2021-12-17,287222.29275104735,378448.48782886594,289862.87952987285
243,2021-12-20,285070.4582963056,373911.974428325,290009.794319295
244,2021-12-21,283985.01967754215,380366.3634128345,289862.87952987285
245,2021-12-22,285298.97168972954,384497.17236292054,289862.87952987285
246,2021-12-23,282823.4099276374,387078.92795672436,290009.794319295
247,2021-12-27,283508.95010790904,393053.84804524167,290009.794319295
248,2021-12-28,282385.4259235749,392463.73248094367,289422.1351616065
249,2021-12-29,279300.49511235236,393422.6702729279,289128.30558276223
250,2021-12-30,281642.7573949473,392463.73248094367,289422.1351616065
251,2021-12-31,282194.99809572165,391873.6169166457,289275.2203721844
252,2022-01-03,274787.35559223045,392242.43914433196,288834.476003918
253,2022-01-04,273644.788625111,391467.9124661908,288834.476003918
254,2022-01-05,272159.45156785566,383243.1767887873,288099.9020568073
255,2022-01-06,272864.0345309127,383206.2945660187,287365.3281096966
256,2022-01-07,270902.62790402427,380366.3634128345,287218.4133202745
257,2022-01-10,271569.1253015107,379296.7789525444,286924.5837414302
258,2022-01-11,273378.18966611644,382505.53233341477,287071.49853085226
259,2022-01-12,272330.83661292354,384054.585689697,287071.49853085226
260,2022-01-13,274749.2700266597,378079.6656011797,286483.8393731637
261,2022-01-14,270597.943379459,377342.02114580723,285896.18021547515
262,2022-01-18,266789.3868223941,370555.69215638016,285308.5210577866
263,2022-01-19,268636.53675257054,366683.05876567453,285014.6914789423
264,2022-01-20,270293.25885489373,361999.01647405914,285308.5210577866
265,2022-01-21,273511.48914561357,356319.1541676908,285455.43584720866
266,2022-01-24,271264.44077694527,358200.1475288907,285161.6062683644
267,2022-01-25,270826.45677288284,353405.45856896933,285455.4358472087
268,2022-01-26,267551.09813380707,351303.1718711577,283839.37316356524
269,2022-01-27,272464.1360924208,348352.59404966765,284427.03232125373
270,2022-01-28,272559.3500063474,357019.9164002946,284280.11753183167
271,2022-01-31,271150.1840802334,364138.1853946393,284280.11753183167
272,2022-02-01,269874.3176336167,365871.6498647647,284133.2027424095
273,2022-02-02,270788.3712073123,368895.992131792,284720.861900098
274,2022-02-03,268674.6223181413,360191.7875583964,284427.03232125373
275,2022-02-04,264713.7234987938,359786.08310794155,283545.54358472093
276,2022-02-07,264885.1085438617,358384.55864273384,283104.7992164545
277,2022-02-08,263114.1297448265,361408.90090976114,282810.9696376102
278,2022-02-09,263609.242097245,367789.52544873336,282957.8844270324
279,2022-02-10,259419.82988447364,360708.1386771572,281929.4809010774
280,2022-02-11,263266.4720071092,353331.6941234321,282223.31047992164
281,2022-02-14,259991.1133680334,351819.5229899185,281635.65132223314
282,2022-02-15,257039.4820363081,357868.207523973,281635.65132223314
283,2022-02-16,258562.9046591341,358237.02975165925,281194.9069539667
284,2022-02-17,260486.22572045185,349901.64740594995,281341.8217433888
285,2022-02-18,263228.3864415385,347172.36292107165,281782.5661116552
286,2022-02-22,263913.92662181024,343225.9650848288,281047.9921645445
287,2022-02-23,260276.7551098133,336808.4583230879,280460.33300685603
288,2022-02-24,260448.1401548812,341971.9695106955,280607.24779627816
289,2022-02-25,260638.5679827344,349827.8829604127,280607.24779627816
290,2022-02-28,266351.4028183317,348315.7118268991,280460.33300685603
291,2022-03-01,269074.52075663314,342340.7917383817,281488.736532811
292,2022-03-02,259876.85667132147,348795.1807228912,280901.0773751225
293,2022-03-03,262523.8034784816,347799.36070813827,281047.99216454464
294,2022-03-04,267055.98578138876,343963.60954020126,280901.0773751225
295,2022-03-07,265018.408023359,334189.8205065155,280166.50342801184
296,2022-03-08,262352.41843341367,331534.3004671745,280166.50342801184
297,2022-03-09,259781.64275739482,340717.9739365622,279725.7590597454
298,2022-03-10,256049.2573314713,337287.92721908004,279578.8442703233
299,2022-03-11,256906.18255681088,332345.7093680842,279578.8442703233
300,2022-03-14,250907.7059794337,329911.4826653549,278403.5259549462
301,2022-03-15,250469.72197537124,337509.22055569175,278403.5259549462
302,2022-03-16,252926.24095467807,345328.25178264035,278109.6963761019
303,2022-03-17,251041.00545893097,349791.0007376441,278256.61116552405
304,2022-03-18,254106.89348736816,354364.39636095363,278403.5259549462
305,2022-03-21,248222.67360670294,353405.45856896933,277375.12242899125
306,2022-03-22,245042.5288815538,357646.91418736125,276493.63369245845
307,2022-03-23,250412.59362701525,351856.4052126871,276640.5484818805
308,2022-03-24,248451.18700012684,356245.38972215354,276640.5484818805
309,2022-03-25,245004.4433159831,357425.6208507495,275612.1449559256
310,2022-03-28,247099.14942236876,360044.25866732193,275171.40058765915
311,2022-03-29,248965.34213533057,366019.17875583924,275024.485798237
312,2022-03-30,250907.70597943364,362552.24981558847,275024.485798237
313,2022-03-31,251517.07502856405,357167.4452913691,275465.2301665034
314,2022-04-01,252088.35851212376,358273.9119744278,275905.9745347698
315,2022-04-04,250336.42249587394,361372.0186869924,275612.1449559255
316,2022-04-05,244680.71600863262,356798.6230636828,274436.8266405484
317,2022-04-06,242700.26659895887,352667.8141135968,273996.082272282
318,2022-04-07,240872.1594515677,354475.0430292594,273849.1674828599
319,2022-04-08,238263.2982099783,352778.46078190266,273408.4231145935
320,2022-04-11,234492.82721848408,347246.1273666088,271939.2752203722
321,2022-04-12,234169.09991113355,344775.0184411109,272233.10479921644
322,2022-04-13,234645.16948076664,349053.35628227144,271792.36043095007
323,2022-04-14,229941.6021327915,343963.60954020114,271351.61606268364
324,2022-04-18,228799.03516567207,343447.2584214404,271792.36043095007
325,2022-04-19,227085.18471499285,349938.5296287184,271057.7864838393
326,2022-04-20,231655.4525834707,351155.642980083,270763.9569049951
327,2022-04-21,229941.6021327915,346139.66068354994,269882.4681684623
328,2022-04-22,228494.35064110684,337066.6338824681,269588.638589618
329,2022-04-25,230779.48457534576,338910.7450208994,270470.12732615083
330,2022-04-26,233102.70407515534,329321.3671010568,269882.46816846234
331,2022-04-27,230112.98717785944,330649.1271207273,269441.7238001959
332,2022-04-28,230455.75726799527,337878.04278337787,269000.9794319295
333,2022-04-29,227466.04037069934,326665.84706171567,268266.40548481885
334,2022-05-02,223143.32867843073,328805.015982296,267384.916748286
335,2022-05-03,224647.70851847134,331017.9493484135,267678.7463271303
336,2022-05-04,225885.48939951745,341160.5606097855,267825.6611165525
337,2022-05-05,219696.58499428706,328694.3693139901,266797.25759059755
338,2022-05-06,216459.31192078188,325706.90926973143,265915.76885406475
339,2022-05-09,218363.5901993143,316117.5313498888,265621.93927522044
340,2022-05-10,220344.039608988,316412.5891320379,265621.93927522044
341,2022-05-11,224590.58017011534,310216.3757069088,266062.6836434869
342,2022-05-12,224171.63894883823,311175.3134988931,266062.6836434869
343,2022-05-13,220858.1947441918,318994.3447258417,266503.4280117533
344,2022-05-16,220629.6813507679,317002.70469633595,266503.4280117533
345,2022-05-17,217963.69176082246,323457.0936808454,266062.6836434869
346,2022-05-18,222610.13076044162,310068.8468158343,266209.59843290906
347,2022-05-19,223143.32867843073,308335.3823457089,266944.17238001974
348,2022-05-20,225676.01878887886,308003.4423407913,267091.0871694418
349,2022-05-23,221962.6761457406,313203.83575116744,267384.9167482861
350,2022-05-24,226342.5161863652,310732.7268256695,268119.4906953968
351,2022-05-25,227237.52697727544,313867.7157610027,268854.06464250747
352,2022-05-26,226209.21670686794,320727.809195967,267972.57590597466
353,2022-05-27,226761.45740764236,329100.07376444497,268707.14985308534
354,2022-05-31,221962.67614574064,326370.78927956667,267678.7463271304
355,2022-06-01,221315.2215310396,323383.32923530805,267384.91674828617
356,2022-06-02,221429.47822775156,330612.2448979586,268119.49069539685
357,2022-06-03,220953.40865811845,325227.4403737393,267384.91674828617
358,2022-06-06,216878.25314205902,325743.7914925,267238.00195886404
359,2022-06-07,219220.51542465392,328805.01598229597,267384.91674828617
360,2022-06-08,217278.15158055082,324637.3248094412,266797.25759059767
361,2022-06-09,218001.77732639317,316744.5291369554,266650.34280117555
362,2022-06-10,216649.73974863515,307413.32677649317,265768.85406464274
363,2022-06-13,209851.46629427437,295500.3688222272,263712.04701273283
364,2022-06-14,207204.51948711427,294504.54880747426,262683.6434867779
365,2022-06-15,211070.20439253512,298377.18219818,264299.7061704214
366,2022-06-16,212745.96927764366,288050.1598229648,263271.3026444665
367,2022-06-17,213431.50945791532,289009.0976149491,263271.3026444665
368,2022-06-21,209813.3807287037,295500.3688222272,263418.21743388864
369,2022-06-22,215583.34391265694,295463.48659945856,264005.87659157714
370,2022-06-23,217354.3227116921,298893.53331694077,264446.62095984357
371,2022-06-24,214345.56303161086,308187.8534546344,264593.5357492657
372,2022-06-27,212517.45588421973,307155.15121711284,263271.30264446646
373,2022-06-28,213507.68058905663,300737.644455372,263565.13222331076
374,2022-06-29,216840.1675764884,300516.35111876024,264005.87659157714
375,2022-06-30,218744.44585502084,297602.6555200388,264299.7061704214
376,2022-07-01,220553.51021962662,300331.94000491715,265475.0244857985
377,2022-07-05,222286.40345309116,301253.9955741328,265181.1949069542
378,2022-07-06,218554.01802716756,302471.1089254974,265034.280117532
379,2022-07-07,216630.6969658498,307228.9156626501,265034.280117532
380,2022-07-08,214231.30633489892,306528.1534300462,265034.280117532
381,2022-07-11,217925.60619525184,303245.6356036386,264593.53574926563
382,2022-07-12,219220.51542465392,300442.586673223,264740.45053868776
383,2022-07-13,221734.1627523167,298782.8866486349,264446.6209598435
384,2022-07-14,219925.0983877109,297602.65552003885,264740.45053868776
385,2022-07-15,221162.879268757,302876.8133759523,265328.1096963763
386,2022-07-18,218858.70255173277,300221.2933366113,265475.0244857985
387,2022-07-19,217678.05001904265,309109.90902385,264887.36532810994
388,2022-07-20,218249.33350260239,311285.9601671989,265328.1096963763
389,2022-07-21,222019.8044940966,315269.24022621044,265034.280117532
390,2022-07-22,225752.18992002017,312244.89795918314,265621.9392752205
391,2022-07-25,223543.22711692256,312208.0157364146,266062.68364348693
392,2022-07-26,223714.61216199046,308814.85124170105,265475.02448579844
393,2022-07-27,222457.78849815903,316965.82247356727,266062.68364348693
394,2022-07-28,224228.76729719422,321944.9225473317,267531.8315377083
395,2022-07-29,223619.39824806384,326297.0248340295,267825.66111655254
396,2022-08-01,228589.5645550335,325854.43816080596,267972.57590597466
397,2022-08-02,223752.6977275611,323789.03368576296,267238.00195886404
398,2022-08-03,227275.6125428461,329173.83820998226,267972.57590597466
399,2022-08-04,227199.4414117048,329100.073764445,268560.2350636632
400,2022-08-05,221791.29110067268,328952.5448733705,268119.4906953968
401,2022-08-08,225371.33426431366,328768.1337595274,268119.4906953968
402,2022-08-09,224495.36625618875,326223.26038849226,267972.57590597466
403,2022-08-10,223029.0719817188,334005.40939267224,268413.3202742411
404,2022-08-11,217830.39228132524,334116.05606097815,268266.405484819
405,2022-08-12,220039.35508442286,339722.1539218092,268413.3202742411
406,2022-08-15,219848.92725656962,341344.97172362875,268854.0646425075
407,2022-08-16,220762.98083026518,341750.67617408367,269000.97943192965
408,2022-08-17,218458.8041132409,338947.62724366813,268707.1498530854
409,2022-08-18,218782.53142059143,340238.50504057,268119.4906953969
410,2022-08-19,215259.61660530642,335222.5227440369,267678.74632713053
411,2022-08-22,214535.99085946407,327514.1381853942,267238.00195886416
412,2022-08-23,213355.33832677398,327219.08040324517,267384.9167482863
413,2022-08-24,211793.83013837735,328178.01819522947,267384.9167482863
414,2022-08-25,214745.46147010263,332603.88492746453,267825.6611165527
415,2022-08-26,216364.0980068552,320322.1047455122,266944.1723800199
416,2022-08-29,214574.07642503473,317850.99582001433,266503.4280117535
417,2022-08-30,215107.2743430238,314347.18465699494,266650.34280117555
418,2022-08-31,213050.65380220878,312244.89795918326,267238.00195886416
419,2022-09-01,208708.89932715482,312244.89795918326,266356.5132223313
420,2022-09-02,209889.55185984494,308851.7334644697,266356.5132223313
421,2022-09-06,204690.87215945136,307671.5023358737,265181.19490695425
422,2022-09-07,207928.1452329565,313830.8335382342,265621.9392752206
423,2022-09-08,205795.35356100014,316006.8846815831,265621.9392752206
424,2022-09-09,206252.38034784794,321354.8069830338,265768.8540646428
425,2022-09-12,204557.57267995406,324194.738136218,265181.1949069543
426,2022-09-13,205033.64224958717,310142.61126137164,264446.6209598436
427,2022-09-14,205738.22521264417,310843.3734939755,264299.70617042144
428,2022-09-15,205604.9257331469,306233.09564789734,264152.7913809993
429,2022-09-16,203891.07528246767,303577.57560855633,263712.0470127329
430,2022-09-19,204367.14485210078,305864.2734202111,264299.7061704214
431,2022-09-20,202329.5670940711,301880.9933611995,263858.961802155
432,2022-09-21,205719.18242985883,297160.06884681544,262536.72869735584
433,2022-09-22,200463.37438110932,293951.31546594505,260626.83643486805
434,2022-09-23,201282.21404087826,289267.2731743296,260773.75122429023
435,2022-09-26,197435.57191824273,284620.1131054828,257835.4554358475
436,2022-09-27,192236.89221784918,283845.5864273416,257394.71106758105
437,2022-09-28,198673.35279928878,289746.7420703217,257247.79627815896
438,2022-09-29,197645.04252888128,284029.9975411847,257835.45543584749
439,2022-09-30,195093.3096356478,279972.9530366359,255631.73359451545
440,2022-10-03,197721.21366002253,287423.16203589825,256366.30754162613
441,2022-10-04,197168.97295924815,296348.65994590556,258570.0293829582
442,2022-10-05,195283.73746350102,295942.95549545065,256660.1371204704
443,2022-10-06,194198.29884473755,292734.20211458026,256513.22233104828
444,2022-10-07,192313.06334899043,284140.6442094905,256953.96669931465
445,2022-10-10,189323.3464516945,281669.5352839926,256513.22233104828
446,2022-10-11,190161.22889424875,280194.2463732476,255778.6483839376
447,2022-10-12,191094.32525072963,279456.60191787506,255337.9040156712
448,2022-10-13,189266.2181033385,286611.75313498836,253868.75612144987
449,2022-10-14,187704.7099149419,279493.4841406437,254456.4152791384
450,2022-10-17,186790.65634124636,286722.3998032942,252987.26738491704
451,2022-10-18,187228.64034530878,290263.0931890823,252546.52301665067
452,2022-10-19,183819.98222673574,287681.33759527846,252987.26738491704
453,2022-10-20,180677.92306715721,284620.11310548254,252399.6082272285
454,2022-10-21,177421.60721086676,291295.79542660376,251811.94906953996
455,2022-10-24,175955.3129363968,295057.7821490036,251811.94906953993
456,2022-10-25,181077.82150564904,301069.5844602895,251665.03428011778
457,2022-10-26,183686.68274723846,299631.1777723131,252546.5230166506
458,2022-10-27,185610.00380855624,298856.65109417203,252987.26738491698
459,2022-10-28,184334.1373619395,306343.74231620296,253281.09696376123
460,2022-10-31,183020.1853497521,304647.16006884613,253428.0117531834
461,2022-11-01,184277.0090135835,303577.575608556,253574.92654260556
462,2022-11-02,183477.21213659988,295242.1932628466,251811.94906953993
463,2022-11-03,182486.98743176303,291738.38209982717,251518.11949069565
464,2022-11-04,179421.09940332582,296090.484386525,253428.0117531834
465,2022-11-07,177631.07782150534,299741.82444061886,252840.3525954949
466,2022-11-08,179573.4416656084,302397.34447995987,252987.26738491698
467,2022-11-09,180163.76793195345,296053.6021637563,253428.0117531834
468,2022-11-10,187095.3408658115,313867.7157610024,254309.50048971619
469,2022-11-11,186409.80068553984,317703.46692893945,256807.0519098925
470,2022-11-14,185952.77389869207,313867.7157610024,256366.3075416261
471,2022-11-15,188961.53357877332,317113.35136464145,257100.8814887368
472,2022-11-16,193093.8174431887,313904.597983771,256513.22233104828
473,2022-11-17,191056.23968515897,312171.1335136456,256513.22233104828
474,2022-11-18,189742.28767297158,313646.4224243907,256366.30754162613
475,2022-11-21,190542.0845499552,312539.9557413319,257394.71106758108
476,2022-11-22,193246.15970547128,317519.05581509636,257541.62585700324
477,2022-11-23,196616.7322584737,319547.57806737075,258129.2850146918
478,2022-11-25,195950.23486098737,319031.22694861,257541.62585700327
479,2022-11-28,196502.47556176176,313867.7157610024,259304.60333006887
480,2022-11-29,194198.29884473752,313425.1290877789,259157.68854064678
481,2022-11-30,195626.50755363682,324047.20924514305,258863.85896180253
482,2022-12-01,201396.4707375901,324895.50036882143,260039.17727717958
483,2022-12-02,203929.16084803824,324120.9736906803,261214.49559255666
484,2022-12-05,201072.7434302396,317887.8780427826,260039.17727717955
485,2022-12-06,203662.56188904372,313793.95131546515,260186.09206660173
486,2022-12-07,208461.34315094547,313351.3646422416,260773.7512242903
487,2022-12-08,207890.05966738577,315933.1202360454,261067.58080313454
488,2022-12-09,202481.90935635366,313056.3068600926,261361.4103819788
489,2022-12-12,203129.3639710547,317703.46692893945,260333.0068560239
490,2022-12-13,205090.7705979431,319363.1669535276,262095.98432908952
491,2022-12-14,205966.73860606801,316928.9402507983,262095.98432908952
492,2022-12-15,206271.4231306332,309183.67346938694,262095.98432908952
493,2022-12-16,203967.24641360898,305421.68674698716,261508.325171401
494,2022-12-19,200539.5455122506,302618.6378165716,260920.66601371244
495,2022-12-20,196978.54513139493,302544.87337103434,260479.92164544604
496,2022-12-21,197473.65748381338,307081.38677157526,261067.58080313457
497,2022-12-22,197435.57191824273,302839.9311531833,260479.92164544604
498,2022-12-23,194541.06893487342,304167.6911728538,260333.0068560239
499,2022-12-27,190694.42681223789,303061.22448979504,260333.0068560239
500,2022-12-28,189570.90262790374,299041.06220801483,259451.5181194911
501,2022-12-29,191722.7370826454,305089.7467420694,260039.17727717964
502,2022-12-30,189589.94541068908,303614.4578313243,261214.49559255672
503,2023-01-03,193208.07413990068,302323.58003442246,259451.51811949105
504,2023-01-04,195855.02094706078,305052.86451930075,260186.0920666017
505,2023-01-05,196673.86060682975,301106.4666830579,259745.34769833527
506,2023-01-06,200291.98933604138,308187.85345463397,260773.75122429023
507,2023-01-09,201358.3851720195,309109.9090238496,260773.7512242902
508,2023-01-10,198025.89818458774,311581.0179493475,259892.26248775743
509,2023-01-11,201244.12847530757,315785.5913449708,261067.5808031345
