,Date,CNY,INR,USD
103,2021-06-02,300066.75567423255,293108.7289433386,299055.95840744267
104,2021-06-03,302069.42590120184,293108.7289433386,299507.45656040474
105,2021-06-04,300867.82376502024,294027.56508422684,299794.7735668352
106,2021-06-07,300233.6448598133,293568.1470137827,299261.1848406072
107,2021-06-08,300667.55674232333,294027.56508422684,298850.7319742781
108,2021-06-09,300801.068090788,294027.56508422684,299548.5018470377
109,2021-06-10,300667.55674232333,293568.1470137827,299589.5471336706
110,2021-06-11,302269.69292389875,293568.1470137827,299671.63770693645
111,2021-06-14,302136.1815754341,294027.56508422684,300574.63401286065
112,2021-06-15,302202.9372496665,294027.56508422684,300369.40757969604
113,2021-06-16,304172.2296395196,294486.9831546709,301026.1321658227
114,2021-06-17,306708.9452603474,294027.56508422684,302996.3059242028
115,2021-06-18,307843.7917222967,296324.65543644736,304761.2532494183
116,2021-06-21,306608.81174899894,296324.65543644736,304309.75509645615
117,2021-06-22,306174.89986648894,297243.4915773355,304309.75509645615
118,2021-06-23,306408.544726302,297702.90964777966,305089.6155424816
119,2021-06-24,306475.3004005343,297243.4915773355,304761.2532494183
120,2021-06-25,306441.92256341816,297243.4915773355,304514.98152962077
121,2021-06-28,306675.5674232312,296324.65543644736,304597.07210288657
122,2021-06-29,307242.99065420585,296784.0735068915,304925.43439595
123,2021-06-30,308544.7263017359,296784.0735068915,304925.43439595
124,2021-07-01,309078.77169559436,296784.0735068915,305253.7966890133
125,2021-07-02,307843.7917222967,297243.4915773356,305951.5665617729
126,2021-07-06,308911.8825100136,296784.0735068915,305048.57025584864
127,2021-07-07,309212.283044059,297702.9096477797,306854.5628676971
128,2021-07-08,308277.7036048067,297243.4915773356,307100.83458749455
129,2021-07-09,307510.01335113513,298162.3277182238,306690.3817211654
130,2021-07-12,307843.79172229674,297702.9096477797,305746.3401286083
131,2021-07-13,309579.4392523368,297243.4915773356,305951.5665617729
132,2021-07-14,308444.5927903875,297243.4915773356,306444.11000136787
133,2021-07-15,309145.5273698268,297243.4915773356,305664.2495553424
134,2021-07-16,309379.17222963984,296784.0735068915,305951.56656177284
135,2021-07-19,310046.72897196293,297702.9096477797,306320.97414146905
136,2021-07-20,310313.75166889216,298162.32771822385,307798.6044602541
137,2021-07-21,309579.4392523368,297702.9096477798,305910.5212751399
138,2021-07-22,309813.08411214984,297243.49157733563,305541.1136954436
139,2021-07-23,310113.48464619525,297243.49157733563,305582.15898207657
140,2021-07-26,309245.66088117525,297702.9096477798,305582.15898207657
141,2021-07-27,308511.34846461983,297702.9096477798,304925.4343959499
142,2021-07-28,308144.1922563421,299081.1638591121,305787.3854152411
143,2021-07-29,306608.811748999,298162.3277182239,305335.887262279
144,2021-07-30,307643.5246995998,296784.0735068916,304761.2532494181
145,2021-08-02,307242.9906542059,296784.0735068916,305294.84197564604
146,2021-08-03,307343.12416555436,296784.0735068916,305089.6155424814
