,Date,CNY,INR,USD,Net,Adjusted
277,2022-02-08,29702.145765626017,29606.04323386723,237062.7677918918,296370.956791385,False
278,2022-02-09,29655.561471765246,29699.29061413138,237189.7770433206,296544.62912921724,False
279,2022-02-10,29674.195189309554,29652.666923999306,237539.05248474987,296865.91459805873,False
280,2022-02-11,29929.952431947244,29929.37092113442,239441.4460678485,299300.7694209302,True
281,2022-02-14,30020.290548155244,29929.37092113442,238807.49995699903,298757.1614262887,False
282,2022-02-15,29979.338671417245,29979.525023184247,239836.26072364845,299795.12441824994,True
283,2022-02-16,29888.766651261907,29885.249787262284,238188.55487642562,297962.57131494983,False
284,2022-02-17,29758.187658423223,29758.187658423223,238064.77953661763,297581.1548534641,True
285,2022-02-18,29771.91557378979,29771.88127545124,238175.20692652272,297719.00377576373,True
286,2022-02-22,29595.545432561717,29595.545432561717,236763.60731530172,295954.69818042516,True
287,2022-02-23,29644.855932084887,29595.545432561717,237081.3255215756,296321.7268862222,False
288,2022-02-24,29937.6370230037,29502.036600231346,237113.09734220302,296552.77096543805,False
289,2022-02-25,29777.3778995534,29595.545432561717,239591.2993511393,298964.22268325445,False
290,2022-02-28,29786.496352173992,29785.902460249137,238291.97081739185,297864.369629815,True
291,2022-03-01,30002.095022906306,29738.77286774874,238958.56618000878,298699.4340706638,False
292,2022-03-02,30034.293044640202,30033.65054097329,240275.11295762213,300343.0565432356,True
293,2022-03-03,30157.64982888762,30081.247451497813,239736.23737447176,299975.1346548572,False
294,2022-03-04,30422.866915019575,30081.247451497813,240560.40003105468,301064.5143975721,False
295,2022-03-07,30620.23776981544,30081.247451497813,242240.42390793512,302941.90912924835,False
296,2022-03-08,30496.308418347813,30495.27141446345,243970.46734678242,304962.0471795937,True
297,2022-03-09,30160.744354386585,30495.27141446345,243432.39029113954,304088.4060599896,False
298,2022-03-10,30178.58246696177,120488.92318899241,150892.9123348088,301560.417990763,True
299,2022-03-11,30365.456239216837,120488.92318899241,151249.68002455353,302104.05945276277,False
300,2022-03-14,30347.07521243765,120870.21724971705,152121.7788217073,303339.071283862,False
301,2022-03-15,30350.138716900845,121251.51131044173,151606.44771429824,303208.0977416408,False
302,2022-03-16,30274.79063351263,30275.131356546568,241973.61645642546,302523.53844648466,True
303,2022-03-17,30152.147373027063,120382.65950292797,150760.73686513526,301295.5437410903,True
304,2022-03-18,30128.389844815872,210672.58017154253,60256.779689631745,301057.7497059902,True
305,2022-03-21,30144.853814948034,241083.49142969996,30144.853814948034,301373.19905959605,True
306,2022-03-22,30141.79342369778,240704.42933625702,30287.739231319083,301133.9619912739,False
307,2022-03-23,30181.57850995102,241462.55352314288,30204.389405102633,301848.52143819653,False
308,2022-03-24,30233.60516120524,241462.55352314288,30382.996175566448,302079.15485991456,False
309,2022-03-25,30239.72594370574,241462.55352314288,30291.70827066272,301993.98773751134,False
