,Date,AUD,CAD,USD,Net,Adjusted
109,2021-06-10,146854.76358998424,29370.948641612296,117263.70309040436,293489.41532200086,True
110,2021-06-11,146854.76358998424,29370.948641612296,117888.5540837813,294114.26631537784,False
111,2021-06-14,236133.9059429681,29544.33395320812,29544.333953208115,295222.5738493843,True
112,2021-06-15,236133.9059429681,29302.167281460508,29550.861645199548,294986.9348696281,False
113,2021-06-16,236133.9059429681,29544.333953208123,29743.428558946704,295421.6684551229,False
114,2021-06-17,237950.32060406782,29786.50062495573,29991.480854621008,297728.30208364455,False
115,2021-06-18,239766.7352651676,29786.50062495573,30102.45161847531,299655.68750859867,False
116,2021-06-21,241583.14992626733,30028.667296703337,29981.689316633863,301593.5065396045,False
117,2021-06-22,241583.14992626733,30028.667296703337,29939.25931868958,301551.07654166024,False
118,2021-06-23,239766.7352651676,29786.50062495573,29962.106240659577,299515.34213078296,False
119,2021-06-24,239766.7352651676,29786.50062495573,29968.633932651006,299521.8698227744,False
120,2021-06-25,239766.7352651676,29786.50062495573,29965.370086655294,299518.60597677866,False
121,2021-06-28,239766.7352651676,29786.50062495573,29988.21700862529,299541.4528987486,False
122,2021-06-29,239766.7352651676,29786.50062495573,30043.702390552444,299596.9382806758,False
123,2021-06-30,241583.14992626733,30028.667296703337,30170.99238438531,301782.809607356,False
124,2021-07-01,241583.14992626733,30028.667296703337,30223.213920316743,301835.0311432874,False
125,2021-07-02,243399.56458736712,30028.667296703337,30102.45161847531,303530.68350254575,False
126,2021-07-06,241583.14992626733,29786.50062495573,30206.89469033817,301576.54524156125,False
127,2021-07-07,241583.14992626733,30270.833968450945,30236.269304299603,302090.2531990179,False
128,2021-07-08,243399.56458736712,30270.833968450945,30144.881616419592,303815.28017223766,False
129,2021-07-09,152778.313187718,30554.951010915676,121992.41244550371,305325.6766441374,True
130,2021-07-12,151646.6219789201,30310.51140282835,122124.825788004,304081.95916975243,False
131,2021-07-13,151646.6219789201,30554.951010915676,122813.37516900542,305014.94815884123,False
132,2021-07-14,151646.6219789201,30554.951010915676,122363.16980450449,304564.74279434024,False
133,2021-07-15,243643.8236898595,30484.2810813591,30484.281081359106,304612.38585257775,True
134,2021-07-16,245462.06118008232,30728.155330009973,30507.32037822474,306697.53688831703,False
135,2021-07-19,245410.69076063222,30676.33634507904,30676.07853280153,306763.1056385128,True
136,2021-07-20,247228.54772922947,30919.79933194475,30702.497805948522,308850.84486712277,False
137,2021-07-21,247022.55349277478,30877.819186596862,30877.199638102327,308777.57231747394,True
138,2021-07-22,247022.55349277478,30634.68675205673,30900.503184999005,308557.7434298305,False
139,2021-07-23,245206.21118768086,30634.68675205673,30930.46488815188,306771.3628278895,False
140,2021-07-26,246800.91928132225,30849.57667637652,30850.099404728895,308500.5953624277,True
141,2021-07-27,244986.20663954783,30604.738766246548,30776.844986282696,306367.79039207706,False
142,2021-07-28,246712.57098780668,30839.071373475846,30838.82439394355,308390.4667552261,True
143,2021-07-29,246393.64205352525,30798.693355784013,30798.92033358809,307991.25574289734,True
144,2021-07-30,244581.9240972493,30552.30380893774,30902.857469484155,306037.0853756712,False
145,2021-08-02,246393.64205352525,30798.693355784013,30862.62373945987,308054.9591487691,False
146,2021-08-03,246393.64205352525,30798.693355784013,30872.68217196594,308065.0175812752,False
147,2021-08-04,244581.9240972493,30798.693355784013,30936.38557783772,306317.00303087104,False
148,2021-08-05,244581.9240972493,30798.693355784013,30926.32714533165,306306.944598365,False
149,2021-08-06,244581.9240972493,30798.693355784013,31114.08455211163,306494.70200514497,False
150,2021-08-09,154301.55083539875,30860.310167079762,123210.69269103475,308372.55369351327,True
151,2021-08-10,154301.55083539875,30860.310167079766,123356.50416167504,308518.36516415357,False
152,2021-08-11,246229.43525287887,30806.980940129448,30807.46082439892,307843.8770174072,True
153,2021-08-12,246229.43525287887,30806.980940129444,30850.56673234394,307886.98292535223,False
154,2021-08-13,246171.6474348577,30771.455929357224,30771.222793086534,307714.3261573015,True
155,2021-08-16,246171.6474348577,30771.45592935722,30807.807688322584,307750.9110525375,False
156,2021-08-17,246529.80506690792,30816.337767831817,30816.337767831817,308162.48060257157,True
157,2021-08-18,249432.98229732655,31178.21639146909,31178.22465869704,311789.4233474927,True
158,2021-08-19,249743.86948809776,31218.081020723886,31218.081020723886,312180.03152954555,True
159,2021-08-20,252817.5721757511,31601.85097846949,31601.178484035343,316020.60163825593,True
160,2021-08-23,252817.57217575106,31601.85097846949,31418.66900402059,315838.09215824114,False
161,2021-08-24,251009.3634079346,31376.11743686003,31376.17042599184,313761.6512707865,True
162,2021-08-25,249203.54064960414,31129.061394050106,31355.90376407388,311688.5058077281,False
163,2021-08-26,247966.87197848523,30996.037192008327,30996.037192008327,309958.9463625019,True
164,2021-08-27,249513.3486132038,31189.16857665049,31188.378147368894,311890.8953372232,True
165,2021-08-30,247858.64336874444,30982.28151283836,30982.378436884883,309823.3033184677,True
166,2021-08-31,247853.29221705158,30981.661527131462,30981.646608617866,309816.6003528009,True
167,2021-09-01,247853.29221705155,30981.661527131466,30921.442610026148,309756.39635420917,False
168,2021-09-02,246044.14409867895,30981.661527131466,30847.85994508071,307873.6655708911,False
169,2021-09-03,244234.9959803063,30981.661527131466,30784.311279900558,306000.9687873383,False
170,2021-09-07,242425.84786193364,30735.77532453518,30944.855276145146,304106.478462614,False
171,2021-09-08,244234.9959803063,30981.661527131466,30988.33594179473,306204.9934492325,False
172,2021-09-09,246044.14409867895,31227.547729727743,30931.476609791436,308203.16843819816,False
173,2021-09-10,154118.30755204122,123064.62215069434,30823.661510408256,308006.59121314384,True
174,2021-09-13,154118.30755204122,123064.62215069435,30836.97914337884,308019.9088461144,False
175,2021-09-14,154118.30755204122,122095.60937785423,30846.967368106772,307060.88429800223,False
176,2021-09-15,61821.969877721494,216143.75969139754,30910.691901866823,308876.42147098586,True
177,2021-09-16,153193.4634825252,122738.76119383739,30684.690298459358,306616.91497482196,True
178,2021-09-17,246832.12851435848,30882.980436955477,30882.765720183128,308597.8746714971,True
179,2021-09-20,248524.79721632812,31065.599652041026,31065.17596819411,310655.5728365632,True
180,2021-09-21,248524.79721632812,31065.599652041026,31051.84899437678,310642.2458627459,False
181,2021-09-22,248524.79721632812,31065.599652041026,31138.47432418942,310728.87119255855,False
182,2021-09-23,248524.79721632812,31065.599652041026,31018.53155983346,310608.9284282026,False
183,2021-09-24,246913.08948234923,30864.092245382475,30864.195420271622,308641.3771480033,True
184,2021-09-27,248715.37480703788,30621.067896993638,30880.730401210374,310217.1731052419,False
185,2021-09-28,154271.93031593773,123185.69805635512,30854.386063187558,308312.0144354804,True
186,2021-09-29,155398.00279999565,124163.36232664365,31041.94071879188,310603.30584543117,False
187,2021-09-30,156524.07528405357,125141.02659693218,31012.326825801723,312677.4287067875,False
188,2021-10-01,155398.00279999565,124163.36232664365,30943.22774215803,310504.59286879736,False
189,2021-10-04,246429.31476259616,30832.517616569836,30832.517616569836,308094.3499957358,True
190,2021-10-05,246429.31476259613,30832.517616569836,30888.391489236044,308150.223868402,False
191,2021-10-06,246596.0129692003,30824.55381217739,30824.55381217739,308245.1205935551,True
192,2021-10-07,246596.01296920027,30824.55381217739,30808.20473303653,308228.77151441417,False
193,2021-10-08,246596.01296920027,30579.91449620773,30759.157495613952,307935.08496102196,False
194,2021-10-11,246596.01296920027,30579.91449620773,30840.90289131825,308016.83035672625,False
195,2021-10-12,244796.04207161488,30579.91449620773,30906.29920788169,306282.2557757043,False
196,2021-10-13,244910.42061999635,30613.753631203264,30613.83838792648,306138.0126391261,True
197,2021-10-14,243109.60870367286,30368.843602153636,30574.790124676572,304053.2424305031,False
198,2021-10-15,243237.06826194274,30404.583920055666,30404.67343866282,304046.32562066126,True
199,2021-10-18,243237.06826194274,30404.583920055666,30407.910044308835,304049.56222630723,False
200,2021-10-19,243237.06826194274,30404.583920055666,30356.1243539726,303997.77653597103,False
201,2021-10-20,241435.31220074315,30404.583920055666,30281.68242411426,302121.5785449131,False
202,2021-10-21,239633.5561395436,30159.385662635857,30349.651142680566,300142.59294486,False
203,2021-10-22,241435.31220074315,30404.583920055666,30297.86545234433,302137.7615731432,False
204,2021-10-25,241435.31220074315,30404.583920055666,30362.597565264627,302202.49368606345,False
205,2021-10-26,239633.5561395436,30404.583920055666,30407.910044308835,300446.05010390806,False
206,2021-10-27,239633.5561395436,30404.583920055666,30378.7805934947,300416.92065309396,False
207,2021-10-28,239633.5561395436,30404.583920055666,30213.713705547947,300251.8537651472,False
208,2021-10-29,239633.5561395436,30159.385662635857,30462.93234029109,300255.87414247054,False
209,2021-11-01,150211.69693219298,119945.08586914894,30042.339386438605,300199.1221877805,True
210,2021-11-02,150211.69693219298,119945.08586914894,30109.541040370776,300266.32384171267,False
211,2021-11-03,240833.5553143965,30132.21332853925,30131.972793718487,301097.7414366543,True
212,2021-11-04,240833.5553143965,30132.21332853925,30289.27800007819,301255.04664301395,False
213,2021-11-05,242628.5462164567,30328.5682770571,30328.446050476537,303285.56054399034,True
214,2021-11-08,242558.99397858809,30319.87424732352,30319.678753914308,303198.54697982594,True
215,2021-11-09,242558.99397858809,30077.315253344936,30290.664707259843,302926.9739391929,False
