,Date,Govt,ESG,Shariah,Net,Adjusted
169,2021-09-03,31032.658622696435,123900.8690583647,155166.07183170068,310099.5995127618,True
170,2021-09-07,30895.481285269077,30895.793381418916,246936.29618039922,308727.5708470872,True
171,2021-09-08,31105.75475757064,30898.84421516844,247430.66313971934,309435.2621124584,False
172,2021-09-09,30994.290342505647,30993.762228258925,247953.63198173736,309941.68455250195,True
173,2021-09-10,30721.030502456844,30806.38665879175,247706.17326718473,309233.5904284333,False
174,2021-09-13,30954.858667739376,30954.621781111917,247639.8214194477,309549.30186829896,True
175,2021-09-14,31330.13190409978,30846.615424583262,247887.09033749005,310063.8376661731,False
176,2021-09-15,31020.390859586827,123849.24625128035,155101.95429793408,309971.59140880127,True
177,2021-09-16,30917.490585898067,30917.588879911244,247109.4851781468,308944.56464395614,True
178,2021-09-17,30768.977721651976,30631.457347835243,246492.02019769166,307892.4552671789,False
179,2021-09-20,30748.55685962166,122762.11193559425,153742.78429810825,307253.45309332415,True
180,2021-09-21,30722.08809792287,122737.00720922706,154051.19509910746,307510.2904062574,False
181,2021-09-22,30905.333371222165,123929.48171166892,154513.81130060626,309348.6263834974,False
182,2021-09-23,30930.106352690054,30931.917600768735,247220.8205681939,309082.8445216527,True
183,2021-09-24,30627.81022023251,30854.58780676681,247344.92740582852,308827.3254328278,False
184,2021-09-27,30757.045475311188,30757.53011428025,246061.2091757585,307575.78476534993,True
185,2021-09-28,30277.94413156787,30051.172653960355,245565.36794820023,305894.48473372846,False
186,2021-09-29,30330.477173644987,30075.95712625228,245813.28856197937,306219.72286187665,False
187,2021-09-30,30326.274530278813,29725.876455128826,245565.36794820023,305617.51893360785,False
188,2021-10-01,30542.710663636542,30048.074594923863,245937.24886886892,306528.0341274293,False
189,2021-10-04,30464.961761362407,29667.0133334355,245689.32825508984,305821.3033498877,False
190,2021-10-05,30170.77672573055,29967.52505997511,245441.40764131074,305579.7094270164,False
191,2021-10-06,30340.983782060408,30082.153244325258,245317.44733442116,305740.58436080685,False
192,2021-10-07,30023.68420791462,30333.096026281015,245441.40764131074,305798.18787550635,False
193,2021-10-08,29813.55203960614,30230.860078076817,245317.44733442116,305361.85945210414,False
194,2021-10-11,29737.90445901509,30082.153244325258,244945.56641375256,304765.6241170929,False
195,2021-10-12,30548.661193367076,30548.181109623754,244395.34563748006,305492.1879404709,True
196,2021-10-13,30633.63254614846,30633.63254614846,245068.303231847,306335.56832414394,True
197,2021-10-14,30725.88026857812,30725.88026857812,245805.81461597476,307257.575153131,True
198,2021-10-15,30677.735228887977,30678.063057584488,245424.2183496165,306780.01663608896,True
199,2021-10-18,30821.573468946197,30794.639697203307,245300.20409072333,306916.41725687287,False
200,2021-10-19,30396.404553479984,31015.521751217915,245300.20409072333,306712.13039542123,False
201,2021-10-20,30191.2235345734,31107.55594039067,245548.23260850972,306847.0120834738,False
202,2021-10-21,30155.26397455885,31208.793548480702,245176.18983183015,306540.24735486973,False
203,2021-10-22,30487.36108763445,31230.26819262101,245300.20409072333,307017.83337097877,False
204,2021-10-25,30440.825186439142,31377.522895297414,245548.23260850972,307366.58069024625,False
205,2021-10-26,30692.542106541026,31408.200958355,244928.16131404377,307028.90437893977,False
