,Date,CNY,INR,USD,Net,Adjusted
418,2022-08-31,32920.62474280278,32920.62474280278,263364.0422416236,329205.2917272292,True
419,2022-09-01,33220.45379979795,32825.34073486413,262934.35693174147,328980.1514664035,False
420,2022-09-02,32958.88744274711,32958.79184578272,263670.6626990849,329588.34198761475,True
421,2022-09-06,33163.50757842745,33054.186322905094,263869.1102625815,330086.80416391406,False
422,2022-09-07,33052.17015166021,33149.580800027485,264266.00538957457,330467.75634126225,False
423,2022-09-08,33013.05159630955,33244.97527714986,263439.14054167224,329697.16741513164,False
424,2022-09-09,32963.01722352469,32963.42702454598,263707.2417352461,329633.68598331674,True
425,2022-09-12,32760.40051215073,32821.34328737121,263541.82507376367,329123.5688732856,False
426,2022-09-13,32858.16642774468,32858.07442742991,262864.5418999245,328580.7827550991,True
427,2022-09-14,32927.75078007403,32927.751693961356,263424.35978025914,329279.8622542945,True
428,2022-09-15,32951.77248409013,33118.08551878194,262927.957092231,328997.8150951031,False
429,2022-09-16,33046.808145498726,33047.0311391131,264375.9379287183,330469.77721333015,True
430,2022-09-19,33040.78649678416,32999.7535552231,263846.19278070837,329886.7328327156,False
431,2022-09-20,33023.93032970364,33023.93032970364,264190.7454943325,330238.6061537398,True
432,2022-09-21,33057.72755391575,33057.72755391575,264461.55720847746,330577.012316309,True
433,2022-09-22,33189.19808202739,33189.19808202739,265513.3586235043,331891.75478755904,True
434,2022-09-23,33593.14317997364,33592.48680429547,268745.145439789,335930.7754240581,True
435,2022-09-26,33863.21792415401,33829.72188059699,269375.0686773113,337068.00848206226,False
436,2022-09-27,33866.18577848566,33924.6159111176,270601.7612977496,338392.56298735284,False
437,2022-09-28,33418.03977440615,34066.95695689851,270933.29984381393,338418.29657511855,False
438,2022-09-29,33314.16487279831,34161.85098741912,269971.8380602272,337447.8539204447,False
439,2022-09-30,33275.582766486834,33782.27486533669,270137.60733325937,337195.4649650829,False
440,2022-10-03,33715.704861920836,33717.08227579773,269736.6582063817,337169.4453441003,True
441,2022-10-04,33658.51385535346,33659.64015664278,269277.12125314213,336595.27526513836,True
442,2022-10-05,33680.19467471592,33680.14332053717,269440.8989181411,336801.2369133942,True
443,2022-10-06,33775.738863625564,33775.50002413588,270205.486902507,337756.72579026845,True
444,2022-10-07,33938.20901315663,33775.50002413588,272522.00669224065,340235.71572953317,False
445,2022-10-10,34040.50503323175,33775.50002413588,274110.4774052009,341926.4824625685,False
446,2022-10-11,34078.34054652475,34078.09305684477,272627.0002065096,340783.4338098791,True
447,2022-10-12,34108.43976975962,34125.75472545574,272130.8336203536,340365.028115569,False
448,2022-10-13,33988.79521848979,33989.21928342525,271913.7181273687,339891.73262928374,True
449,2022-10-14,34276.16933256567,33989.21928342525,271880.638599616,340146.02721560694,False
450,2022-10-17,34058.02540055244,34058.441254825775,272467.5300386061,340583.9966939843,True
451,2022-10-18,34085.3836858617,34105.81043598687,271740.1564600538,339931.35058190237,False
452,2022-10-19,34343.76749156029,34105.81043598687,272070.7808139412,340520.35874148837,False
453,2022-10-20,34313.369396772214,34247.91797947015,274418.2137265418,342979.5011027842,False
